t,close,rsi2,adx,regime,f1,f2,f4,f8,eod
2017-04-17 09:15:00,9141.1,29.855339118888562,38.405260373938816,mid,0.0009517454135714587,-0.0006126177374714548,-0.0006509063460634623,0.007592084103663632,-0.00016956383805022401
2017-06-27 10:15:00,9525.8,28.244362361903132,34.82611407900669,mid,0.001044531692876216,-0.0019263473933945896,-0.0007715887379535769,-0.0014854395431354028,-0.001726889080182148
2017-08-04 10:15:00,10000.8999,29.670323313349083,50.42994255358197,high,-0.00014497695352388984,0.00036997670579630437,0.006969382825239512,0.007019378326144521,0.006919387324334725
2017-08-09 10:15:00,9949.4,29.120810056232173,50.001575296117,high,-0.0008492974450720059,-0.0016081371741009098,-0.0037841477878062246,-0.007799465294389685,-0.005025428669065524
2017-09-22 12:15:00,10012.6,28.146674155391977,42.5208674579104,high,-0.003121067455006732,-0.004704072868186082,-0.015655274354313575,-0.017443021792541313,-0.004988714220082735
2017-09-27 12:15:00,9797.45,29.895149192505,39.31029726060354,mid,-0.0018219026379313608,-0.007216163389453412,-0.005287090008114448,-0.005338123695451502,-0.006042388580702163
2017-11-08 10:15:00,10342.6,28.976188024592172,21.70287941411213,low,0.0008991839576122374,-0.0005221124282095424,-0.0034324057780441564,-0.004408949393769457,-0.0026202308897183
2017-11-09 13:15:00,10283.7,29.794450622685346,26.44124347854684,low,0.0019837218121880884,0.00397716775090684,0.0024115833795228525,0.005251028326380691,0.00397716775090684
2017-11-14 11:15:00,10190.7999,28.31675523994611,47.752090123962674,high,0.00011776308158095716,0.0009910900124729949,-0.0009420163376968604,-0.003660154292696838,-0.0009420163376968604
2017-11-30 12:15:00,10271.5,27.94721176857049,36.32659911013136,mid,0.003027795356082441,-0.004799688458355544,-0.002278148274351355,-0.0077690697561212385,-0.004166869493257952
2017-11-30 14:15:00,10222.2,28.172407495526002,38.67096107741236,mid,0.0006358709475455804,0.002533701160219781,-0.0006847840973567276,-0.009665248185322217,0.0006358709475455804
2017-12-06 15:15:00,10039.6,29.075288426909125,42.745537572961545,high,0.0048906330929519015,0.008715486672775885,0.0070819554563927856,0.0198314673891391,0.0
2018-02-02 13:15:00,10818.7999,29.43432139453228,47.64335680057398,high,-0.004325794028226748,-0.0075146874654739015,-0.01498316832720048,-0.014447064502967621,-0.0075146874654739015
2018-02-19 11:15:00,10388.1,27.70587747598438,31.201375898541713,mid,-0.005487047679556434,-0.0062956652323331586,-6.739442246417315e-05,0.0008856191218797882,-6.739442246417315e-05
2018-03-01 15:15:00,10450.2,29.775834094128907,19.92035054247409,low,-0.008344337907408517,-0.009425656925226344,-0.011999779908518526,-0.003731985990698794,0.0
2018-03-07 09:15:00,10224.2,28.159286719226802,34.45519186047509,mid,-0.0029635668316347896,-0.004978394397605723,-0.004743647424737429,-0.004440454998924204,-0.005878210520138483
2018-03-16 13:15:00,10230.2999,28.18300044838025,45.31176088778185,high,-0.004027242642221984,-0.0009970284448845845,-0.006686021003157405,-0.014026959268320205,-0.0009970284448845845
2018-05-18 11:15:00,10636.2999,29.253421163995405,31.58252941562407,mid,-0.0010812030600979572,-0.0019367543406706433,-0.0028957344461488788,-0.009561586355796514,-0.0028957344461488788
2018-05-23 15:15:00,10429.2,29.214767147185903,44.40640479003332,high,0.0023587523491734874,0.004170981475089208,0.006366739538986588,0.01231158669888388,0.0
2018-06-19 14:15:00,10712.7999,28.84377282965752,40.46491504519663,high,-0.00016801396617138753,0.0015682268087542361,0.004135249459854107,0.005563438182019986,-0.00016801396617138753
2018-06-27 15:15:00,10667.0,28.202951195296905,30.18862458457511,mid,-0.00037498828161619535,-0.0011062154307677208,-0.00432174932033369,-0.001603084278616218,0.0
2018-09-04 12:15:00,11573.1,29.931159804299984,41.24165076050319,high,-0.0038451236056026294,-0.004985708237205233,-0.00476969005711525,-0.014775643518158521,-0.00438949806015676
2018-09-11 13:15:00,11353.6,27.688879081551352,30.88431076571802,mid,-0.005971682990417171,-0.006271147477452055,-0.0037433060879368263,0.0011185791290868607,-0.006271147477452055
2018-09-19 15:15:00,11237.5,29.46026465830615,34.500637612984285,mid,0.007866509454949933,0.008151279199110073,-0.011621810901001117,-0.017219132369299173,0.0
2018-10-04 12:15:00,10619.7,27.982369811342487,42.429210151636546,high,-0.001949207604734715,0.0011205589611757993,-0.013465540457828329,-0.017156793506407975,-0.006742186690772867
2018-10-23 11:15:00,10187.0,29.556401527447882,38.43715363969332,mid,-0.0007951408658093406,-0.0054775694512613216,-0.0002846765485422509,0.00039265730833415446,-0.0002846765485422509
2018-12-06 09:15:00,10662.0,28.780739929228908,42.068542157027764,high,-0.0011348808853873793,-0.0007690958544362969,-0.0022416057024947644,-0.0025229788032263833,-0.006434074282498536
2018-12-11 09:15:00,10393.2999,28.88933012096997,45.146187084525465,high,0.005878787352224801,0.006889053591150551,0.012180924366475887,0.025728123172891415,0.015837125993064083
