timestamp,close,fast_rsi,mid_rsi,slow_rsi,fast_adx,mfe,mae,final_ret,window_bars
2017-04-28 13:45:00,9312.6,47.678093861724825,47.29178617013696,54.2284972619262,40.593927359651154,0.0,-0.001385220024482936,-0.000955694435495924,6.0
2017-05-02 12:45:00,9308.9,46.74678058085318,46.73757264013664,56.129524482145136,27.301986413436435,0.001133324023246729,-0.001235376897377738,0.0009507030905908653,10.0
2017-05-03 14:00:00,9319.3,51.45067970375274,50.91173445504464,58.04440993674335,17.454834640150082,0.0,-0.0016578498385070306,-0.0016578498385070306,5.0
2017-05-04 09:15:00,9349.05,51.01173442110181,49.201617749082516,58.72385104530346,25.311734494460698,0.00014974783534160707,-0.00209112155780522,-0.0005722506564836971,16.0
2017-05-04 13:30:00,9346.8,56.96716937699513,55.77698745916378,58.72385104530346,17.91914751271874,0.0017225146574229022,0.0,0.0011287285488081888,7.0
2017-05-08 09:15:00,9305.9,43.05550974440988,39.91647374360322,58.83615985137619,35.69796043778523,0.0033527117205214285,0.0,0.000521174738606689,24.0
2017-05-09 12:45:00,9327.7,53.092855909624646,51.3427294729833,58.34596190984799,14.517456596663393,0.0007504529519601899,-0.0011095982932556314,-0.0011095982932556314,10.0
2017-05-10 09:15:00,9356.85,52.10468439341608,51.23713522624214,58.19364793249222,27.658455442552267,0.0034894221880226173,0.0,0.0023565623046217787,18.0
2017-05-10 14:00:00,9391.55,64.63226743981377,64.41208592407949,58.19364793249222,24.12053821805368,0.00031411215401089265,0.0,0.00031411215401089265,1.0
2017-05-10 14:30:00,9393.45,66.59200131994444,66.36533387365986,58.19364793249222,25.842958059361077,0.0017458974072359634,-3.193714769345046e-05,0.0017458974072359634,3.0
2017-05-15 09:15:00,9433.2,54.153841479362306,51.146740947732496,63.97131888593739,25.836579320280478,0.0013993130644955887,-0.0004823389729891048,0.001351609210024085,24.0
2017-05-16 09:15:00,9482.0,67.02438743458298,65.77776803068325,65.97222872341672,32.680683900996826,0.0017190466146381755,-0.0016135836321450325,0.0017190466146381755,18.0
2017-05-16 14:00:00,9511.9,76.33929351088241,73.17458386267084,65.97222872341672,53.159536613676224,0.00015769720034897183,-0.00038372985418266836,-0.00019449321376385775,5.0
2017-05-19 09:30:00,9491.4,42.20200233462733,38.76859584157211,67.90641432532269,48.13776383514613,0.0010272457171756066,-0.009798343763828266,-0.007722780622458125,19.0
2017-05-19 14:30:00,9430.0,43.24114834443122,41.14411094879909,67.90641432532269,30.293337255674857,0.0005249204665960239,-0.0009756097560976729,0.0005249204665960239,3.0
2017-05-22 13:15:00,9442.65,47.23883021450921,47.14109241796505,65.77298063064187,26.159579459363812,0.0,-3.177074232330046e-05,-3.177074232330046e-05,1.0
2017-05-22 13:45:00,9454.8,48.81647031997619,47.14109241796505,65.77298063064187,24.0188140713469,0.0,-0.0019672547277571617,-0.0016393789397978198,6.0
2017-05-23 12:45:00,9403.0,41.45295010728849,38.51955367942901,64.26414224504589,33.38595289633406,0.002531107093480811,-0.0025045198340953867,-0.0025045198340953867,10.0
2017-05-25 09:15:00,9385.05,42.32983589762728,39.00810405884209,57.0673744916579,25.365032102681187,0.013937059472245883,0.0,0.012338772835520428,24.0
2017-06-02 09:15:00,9657.6,56.590801408743836,51.75426867085075,69.63212810208952,25.663343652443608,0.00020709078860181585,-0.0019673624917163623,-0.0016670808482439625,24.0
2017-06-05 11:30:00,9677.65,66.27232215492721,65.26031190921381,70.92292675236745,30.010620533755173,0.0006509844848698876,-0.0008163138778525258,-2.0666174122774272e-05,15.0
2017-06-07 09:30:00,9662.2,46.25370080897737,45.36924464486627,71.48461528144415,28.703727664999345,0.0014127217403903103,-0.0026701993334852236,0.00024321583076303277,22.0
2017-06-08 13:00:00,9663.75,52.07865761781022,50.338723999388655,71.22451343180424,14.094214034246814,0.0,-0.0010037511318070624,-0.0010037511318070624,1.0
2017-06-08 13:30:00,9662.15,52.52837900362479,51.43157985921149,71.22451343180424,15.464902921612424,0.0005019586737942117,-0.002049233348685231,-0.002049233348685231,7.0
2017-06-09 12:30:00,9635.9,42.63408289638069,40.07887416936723,69.82136630953923,18.839848738952828,0.003222324847705016,-0.000560404321339969,0.0032067580610009028,11.0
2017-06-14 12:30:00,9603.15,38.93440978093226,35.877046588227294,63.00356342205458,37.95386223309877,0.001598433847227243,0.0,0.0012600032281073759,11.0
2017-06-15 14:45:00,9576.45,36.76884912080399,35.73249261182274,61.17537257532903,44.53344830521095,0.0002714993551888867,-0.000245393647959391,-0.000245393647959391,2.0
2017-06-21 14:30:00,9634.25,49.763978737100864,47.50996894833987,57.62017893749527,44.70375162661716,0.00024911124373971916,-0.0005034123050574602,0.00024911124373971916,3.0
2017-06-23 13:45:00,9596.05,39.951216141332736,37.83807307418928,56.49849997847094,34.69136189070448,0.0,-0.0023759776157897816,-0.0021415061405473113,6.0
2017-06-27 11:15:00,9535.15,28.332751275046483,28.244362361903132,53.35909886400597,40.39408602088217,6.292507197058761e-05,-0.006413113584998631,-0.006413113584998631,11.0
2017-06-27 14:15:00,9486.6,24.586721462798266,23.50450620118713,53.35909886400597,54.91186421787319,0.003357367233782327,0.0,0.0023981194527016303,4.0
