timestamp,close,fast_rsi,slow_rsi,fast_adx,mfe,mae,final_ret,window_days,fwd_1w,fwd_2w,fwd_30d,fwd_60d,fwd_90d,fwd_180d,fwd_365d
2017-05-10 09:15:00,9384.3,59.49021750339038,58.19364793249222,37.500669379784924,0.020758074656607395,-0.0021791715951108293,0.020758074656607395,16.0,0.013719723367752623,-0.0021791715951108293,0.027359526016857982,0.03741355242266353,0.06616369894398111,0.1159276664215767,0.14171541830504153
2017-05-26 13:15:00,9581.25,60.893926096287345,58.82063430035353,29.419111509040857,0.01088062622309205,-0.00924722765818664,-0.0059491193737769565,35.0,0.006288323548597541,0.008928897586431672,-0.007702544031311098,0.04004174820613171,0.02951598173515979,0.07989041095890426,0.11670188127853875
2017-07-03 09:15:00,9605.2,42.19774106834164,40.92197480843227,22.706638942481725,0.05374171282222129,0.0,0.02056698455003536,51.0,0.013555157622954228,0.03144130262774336,0.05050388331320521,0.03713092908008164,0.026329488193894912,0.09480280473077074,0.11420897014117348
2017-08-23 13:15:00,9847.6,44.119965040710774,42.228644341840194,20.299161522053886,0.031652372151590225,-0.014567001096713939,0.0010662496445834613,40.833333333333336,0.003909582030139358,0.00689508103497305,0.01168304967707856,0.029255859295665987,0.04797107924773547,0.05481537633535072,0.17590071692595144
2017-10-03 13:15:00,9854.8,38.07560954374281,36.929815225853496,49.16289846344467,0.0444859357876366,0.0,0.0444859357876366,21.833333333333332,0.016113974915777263,0.03892518366684272,0.057778950359215875,0.030533344157162245,0.0588748630109186,0.03249178065511238,0.10113853147704677
2017-10-25 13:15:00,10292.6,67.44797822582004,67.40414712287321,33.380259558092256,0.014447263082214334,0.0,0.014447263082214334,6.833333333333333,0.014359821619415847,0.0022248994423177404,0.009774012397256282,0.01847928608903482,0.07681246720945145,0.028195004177758776,-0.014874764393836393
2017-11-01 13:15:00,10440.3999,73.68659466388138,73.17265644239438,43.653969719372384,0.003045869919216404,-0.02976896507575344,-0.015344230253095947,18.833333333333332,-0.011963133710998997,-0.02976896507575344,-0.030362821638661552,0.007221945588501866,0.05829279585353819,0.028782422405103425,-0.0056894276626320295
2017-11-20 13:15:00,10296.7999,47.636860459766424,46.78866719043846,29.30155626139975,0.010469281820267407,-0.024978624669592664,-0.01189690012330924,17.0,0.010469281820267407,-0.015567933878175122,0.014179162595943984,0.058591028849652727,0.003331141746281796,0.02309456358377915,0.03410769398364244
2017-12-08 09:15:00,10245.7999,41.073014829730184,37.915897135240016,40.14999077347735,0.030783355431331483,-0.006314772944179703,0.030783355431331483,28.166666666666668,0.009916258466066807,0.023697525070736525,0.03578051529192949,0.013937428155316622,-0.00575845718009782,0.03976264459351775,0.027767475724369772
2018-01-08 09:15:00,10612.3999,62.50491412051427,61.28286910853507,23.97901802362566,0.012777515102875059,0.0,0.012777515102875059,9.0,0.012466558106239534,0.02868342720481154,-0.009187365809688375,-0.030756464426109686,-0.021719875068032413,0.022238136729091806,0.014294608328885072
