entry_time,exit_time,exit_reason,mfe_bucket,mfe_bucket_label,mfe_pts,mae_pts,final_pts,window_bars,entry_open,entry_high,entry_low,entry_close,exit_open,exit_high,exit_low,exit_close,fast_rsi_entry,mid_rsi_entry,slow_rsi_entry,fast_adx_entry
2017-04-05 11:25:00,2017-04-05 12:00:00,cross_down,3,3 (+5 to +8 pts),6.049999999999272,-1.3500000000003638,2.649999999999636,7,9247.05,9250.1,9246.5,9247.85,9249.55,9252.75,9248.75,9250.5,66.74772633763519,65.65778072778701,82.22537053182275,32.277203109452024
2017-04-06 11:15:00,2017-04-06 12:50:00,cross_down,4,4 (+8 to +11 pts),10.599999999998545,-10.900000000001455,-5.200000000000728,19,9226.6,9231.65,9226.5,9230.95,9225.85,9226.35,9223.25,9225.75,38.51385576407997,37.86197587854177,68.28709551502322,30.59135304092367
2017-04-06 13:15:00,2017-04-06 15:25:00,session_end_forced,8,8 (+29 to +41 pts),40.70000000000073,-8.399999999999636,29.100000000000364,26,9225.0,9227.25,9224.65,9227.25,9260.55,9261.8,9250.3,9256.35,40.380376562859766,39.425061292092415,60.059309407613135,34.80983872435742
2017-04-07 10:25:00,2017-04-07 11:10:00,cross_down,1,1 (+0 to +3 pts),0.3500000000003638,-9.200000000000728,-7.899999999999636,9,9242.1,9249.2,9240.9,9248.85,9244.1,9244.7,9240.7,9240.95,53.806763628783116,51.594994589004926,57.06783555769674,19.513311509634526
2017-04-07 12:15:00,2017-04-07 12:25:00,cross_down,1,1 (+0 to +3 pts),2.0,-7.899999999999636,-7.100000000000364,2,9242.25,9245.1,9242.1,9243.1,9242.8,9242.95,9235.2,9236.0,50.241927652042115,49.67200809708479,54.75142360254176,19.334746810136064
2017-04-07 12:35:00,2017-04-07 12:50:00,cross_down,1,1 (+0 to +3 pts),1.8500000000003638,-2.350000000000364,-1.5,3,9238.35,9241.75,9238.25,9239.9,9240.05,9240.55,9237.55,9238.4,49.33324631127805,48.90262712385636,54.75142360254176,18.889645247828987
2017-04-07 12:55:00,2017-04-07 13:00:00,cross_down,1,1 (+0 to +3 pts),1.6999999999989086,-1.75,-0.6000000000003638,1,9238.3,9239.95,9237.95,9239.7,9239.75,9241.4,9238.3,9239.1,49.405877817004935,49.107089689182715,54.75142360254176,16.507402699309914
2017-04-07 13:05:00,2017-04-07 13:30:00,cross_down,3,3 (+5 to +8 pts),5.549999999999272,-2.5,-2.399999999999636,5,9239.0,9240.05,9237.6,9239.6,9240.95,9241.35,9237.1,9237.2,49.5357176043579,49.34113178304393,54.75142360254176,13.688433364052024
2017-04-07 13:45:00,2017-04-07 14:20:00,cross_down,4,4 (+8 to +11 pts),8.300000000001091,-6.199999999998909,-5.5,7,9239.0,9243.35,9238.7,9242.15,9238.7,9240.2,9235.95,9236.65,51.382726337462486,50.022602319088634,53.95278542261645,11.628469919640859
2017-04-11 14:30:00,2017-04-11 15:05:00,cross_down,2,2 (+3 to +5 pts),4.949999999998909,-6.5,-1.3000000000010914,7,9233.4,9239.75,9232.55,9237.7,9236.65,9238.5,9234.9,9236.4,62.12714592147899,59.73365601842712,50.719795108587064,20.02954927905663
