entry_time,exit_time,exit_reason,mfe_bucket,mfe_bucket_label,mfe_pts,mae_pts,final_pts,window_bars,entry_open,entry_high,entry_low,entry_close,exit_open,exit_high,exit_low,exit_close,fast_rsi_entry,mid_rsi_entry,slow_rsi_entry,fast_adx_entry
2017-04-28 13:45:00,2017-04-28 15:15:00,session_end_forced,1,1 (+0 to +6 pts),3.75,-15.300000000001091,-8.899999999999636,6,9307.65,9314.3,9304.95,9312.6,9299.45,9309.3,9298.1,9303.7,47.678093861724825,47.29178617013696,54.2284972619262,40.593927359651154
2017-05-02 12:45:00,2017-05-02 15:15:00,session_end_forced,3,3 (+10 to +14 pts),11.5,-17.399999999999636,8.850000000000364,10,9300.5,9310.95,9299.55,9308.9,9313.2,9319.65,9307.55,9317.75,46.74678058085318,46.73757264013664,56.129524482145136,27.301986413436435
2017-05-03 14:00:00,2017-05-03 14:15:00,cross_down,1,1 (+0 to +6 pts),1.25,-16.299999999999272,-8.599999999998545,1,9319.7,9320.55,9312.95,9319.3,9319.15,9319.4,9303.0,9310.7,51.45067970375274,50.91173445504464,58.04440993674335,17.454834640150082
2017-05-04 09:15:00,2017-05-04 12:15:00,cross_down,3,3 (+10 to +14 pts),13.050000000001091,-25.799999999999272,-19.549999999999272,12,9355.74,9362.1,9341.25,9349.05,9332.35,9332.7,9323.25,9329.5,51.01173442110181,49.201617749082516,58.72385104530346,25.311734494460698
2017-05-04 13:30:00,2017-05-04 15:15:00,session_end_forced,5,5 (+18 to +25 pts),18.850000000000364,-5.849999999998545,10.550000000001091,7,9343.85,9348.55,9340.95,9346.8,9361.3,9365.6,9356.3,9357.35,56.96716937699513,55.77698745916378,58.72385104530346,17.91914751271874
2017-05-08 09:15:00,2017-05-08 15:15:00,session_end_forced,6,6 (+25 to +34 pts),32.80000000000109,-7.949999999998909,4.850000000000364,24,9311.54,9317.65,9302.0,9305.9,9320.25,9320.35,9309.15,9310.75,43.05550974440988,39.91647374360322,58.83615985137619,35.69796043778523
2017-05-09 12:45:00,2017-05-09 14:15:00,cross_down,3,3 (+10 to +14 pts),10.399999999999636,-8.100000000000364,-5.200000000000728,6,9326.55,9327.95,9323.8,9327.7,9324.4,9327.6,9321.9,9322.5,53.092855909624646,51.3427294729833,58.34596190984799,14.517456596663393
2017-05-10 09:15:00,2017-05-10 13:45:00,cross_down,7,7 (+34 to +46 pts),35.79999999999927,-20.850000000000364,22.049999999999272,18,9339.83,9359.4,9336.0,9356.85,9382.05,9382.95,9375.85,9378.9,52.10468439341608,51.23713522624214,58.19364793249222,27.658455442552267
2017-05-10 14:00:00,2017-05-10 14:15:00,cross_down,1,1 (+0 to +6 pts),3.4500000000007276,-12.5,2.9500000000007276,1,9379.1,9392.9,9379.05,9391.55,9391.7,9395.0,9386.45,9394.5,64.63226743981377,64.41208592407949,58.19364793249222,24.12053821805368
2017-05-10 14:30:00,2017-05-10 15:15:00,session_end_forced,5,5 (+18 to +25 pts),21.299999999999272,-3.2000000000007276,16.399999999999636,3,9394.7,9397.2,9390.25,9393.45,9405.8,9414.75,9405.35,9409.85,66.59200131994444,66.36533387365986,58.19364793249222,25.842958059361077
2017-05-15 09:15:00,2017-05-15 13:00:00,cross_down,4,4 (+14 to +18 pts),14.899999999999636,-10.100000000000364,-2.650000000001455,15,9432.27,9443.55,9426.7,9433.2,9431.0,9435.6,9430.15,9430.55,54.153841479362306,51.146740947732496,63.97131888593739,25.836579320280478
2017-05-16 09:15:00,2017-05-16 10:30:00,cross_down,3,3 (+10 to +14 pts),10.600000000000364,-25.700000000000728,-12.600000000000364,5,9461.08,9486.15,9456.3,9482.0,9473.0,9474.0,9466.8,9469.4,67.02438743458298,65.77776803068325,65.97222872341672,32.680683900996826
2017-05-16 14:00:00,2017-05-16 15:15:00,session_end_forced,1,1 (+0 to +6 pts),5.300000000001091,-14.449999999998909,-1.8500000000003638,5,9498.45,9512.5,9497.45,9511.9,9511.0,9515.45,9507.45,9510.05,76.33929351088241,73.17458386267084,65.97222872341672,53.159536613676224
