timestamp,close,fast_rsi,mid_rsi,slow_rsi,fast_adx,mfe,mae,final_ret,window_days,fwd_1w,fwd_2w,fwd_30d,fwd_60d,fwd_90d,fwd_180d,fwd_365d
2017-06-19 12:15:00,9625.45,56.60480104918743,55.23542311978359,78.50784250730335,25.521771808123656,0.007625617503597137,-0.015791469489738086,-0.006810071217449698,9.875,-0.008358050792430571,-0.0021037977445210743,0.02595722797375699,0.017962796544576998,0.055410386007926915,0.0788170942657227,0.11352715976915362
2017-06-29 10:15:00,9557.0,45.11096017806382,44.431084462355685,77.378812133768,38.413023555843935,0.04906350319137798,-0.011326776184995335,0.04841477451082987,27.208333333333332,0.012671340378779927,0.033954169718530824,0.049691315266297,0.03688919116877676,0.028356178717170666,0.09726901747410288,0.11543371350842313
2017-07-27 09:15:00,10087.3999,74.46020729511534,73.53275238386027,73.31834435428,58.62639731537001,0.005035995450125785,-0.03984177329977767,-0.029338571181261486,18.25,-0.00539285648822152,-0.02317741958460473,-0.017259145243166296,-0.02295436904409831,0.016188522475449885,0.09493031995291479,0.11509407890134304
2017-08-16 09:15:00,9790.35,46.811310641981436,44.31276136786387,72.56705264270946,27.259797411495526,0.01608216253760064,-0.0016853330064808825,0.004504435490048975,2.25,0.001057163431338104,0.008922050794915481,0.027287073495840364,0.04484516896740165,0.04292492096809619,0.07303619380308168,0.16788470279407774
2017-08-21 09:15:00,9870.95,47.993160906834014,45.392601665171235,70.88273655047236,31.994482404517797,0.00555164396537311,-0.013256069577902818,0.0006838247585085888,9.0,0.004290367188568345,0.008560472902810812,0.02849269827118972,0.02999204737132688,0.040872448953747975,0.05326235063494389,0.17117400047614462
2017-08-30 10:15:00,9878.05,46.43544749020262,46.069549392762084,68.73393461261792,42.67708962750696,0.011171233188736585,-0.0021360491190061115,0.004702345098476002,6.083333333333333,0.0029054317400702967,0.023289009470492728,-0.006230986885063294,0.05017690738556713,0.05178653681647716,0.07014035158761112,0.18139712797566343
2017-09-05 13:15:00,9944.55,52.263225026745594,51.76699362405547,67.76678744141529,25.707335875132635,0.02237909206550337,-0.006234570694501063,0.021735523477683927,12.875,0.01250432649038924,0.02178580227360727,-0.0035798502697456103,0.04865478075931051,0.019171304885590823,0.042078324308289616,0.14656771799628965
2017-09-18 11:15:00,10162.2,65.08030301637947,64.6989198083329,68.57169046294915,38.060970419982034,0.0016433351046032385,-0.04670740587668043,-0.03496290173387662,10.916666666666666,-0.029609730176536675,-0.031769695538367726,0.002223918049241158,0.014957391116096952,0.02183582295172304,0.0009348369447561566,0.1196689594772784
2017-09-29 10:15:00,9816.5,43.84375863471706,38.97437151993038,64.39303069825554,36.17664396466733,0.025538633932664423,-0.004197015229460699,0.019986756990781007,12.958333333333334,0.015137778230530197,0.03508377731370649,0.056761574899404144,0.05838129679621051,0.07000458411857591,0.03096826771252492,0.10869454489889474
2017-10-12 10:15:00,10022.1,52.48897721990586,52.11976045998109,61.7419317169943,40.48421458657503,0.031769788766825346,-0.0015066702587281933,0.027050219015974708,13.083333333333334,0.014458047714550837,0.026900549784975247,0.025832909270512072,0.028227616966503888,0.060376567785194846,0.037866315442871334,0.041598068269125266
2017-10-25 13:15:00,10307.2,68.91848934515258,67.40414712287321,62.9496904230152,40.62594338954782,0.017773973533064202,-0.020684570009313896,-0.01056543969264212,22.0,0.012496119217634272,0.0009993014591740401,0.00835337434026684,0.017822483312635695,0.07267734205215759,0.0296879850977958,-0.01658065235951578
2017-11-16 14:15:00,10208.6,49.72823560555143,45.6443189345226,66.40189880669685,34.632609664901736,0.019189702799600195,-0.0013028329055894128,0.018758693650451574,11.0,0.013713927472915,0.0013322100973689466,0.017191387653546997,0.05213250592637575,0.028809043355602082,0.05843112669709849,0.04641183903767421
