t,close,fast_rsi,slow_rsi,fast_adx,f15,f30,f60,f120,eod
2017-04-03 12:00:00,9213.3,54.239093315536365,53.720756157842715,15.875536992508675,-1.6280811435565035e-05,0.0004450088459075907,0.0007217826403136396,0.0018071700693564896,0.0032018929156762965
2017-04-05 11:25:00,9247.85,66.74772633763519,65.65778072778701,32.277203109452024,0.0004217196429439074,0.00020545315938291786,0.0009948258243805963,0.0006650194369501872,0.0009786058381135998
2017-04-06 11:15:00,9230.95,38.51385576407997,37.86197587854177,30.59135304092367,-0.000763735043522229,-0.00028166115080252574,0.0007366522405602982,-0.000400825483834355,0.0027516127809164015
2017-04-06 13:15:00,9227.25,40.380376562859766,39.425061292092415,34.80983872435742,-8.669972093522382e-05,0.0006231542442223237,0.0005960605814299136,0.004264542523503723,0.0031537023490206817
2017-04-07 10:25:00,9248.85,53.806763628783116,51.594994589004926,19.513311509634526,-0.0003892375808884907,-0.0004757348210858714,-0.0014758591608685645,-0.0013893619206712948,-0.005568259837709588
2017-04-07 12:15:00,9243.1,50.241927652042115,49.67200809708479,19.334746810136064,-0.0005138968527874654,-0.0003353853144507646,-0.00018392097889241565,-0.00048684965000922453,-0.004949638108426857
2017-04-07 12:35:00,9239.9,49.33324631127805,48.90262712385636,18.889645247828987,-0.00016233941925780648,-3.246788385147248e-05,3.7879197826828914e-05,-0.0009145120618186953,-0.004605028192945726
2017-04-07 12:55:00,9239.7,49.405877817004935,49.107089689182715,16.507402699309914,0.00022728010649686325,0.00011905148435542579,0.0006114917150989996,-0.0042642077123717925,-0.004583482147688778
2017-04-07 13:45:00,9242.15,51.382726337462486,50.022602319088634,11.628469919640859,0.0005464096557621367,-0.0003841097580107311,-0.003548957764156535,,-0.0048473569461650046
2017-04-10 09:15:00,9220.5,33.70043183720086,33.30643984054636,59.64552846038794,-0.0014044791497208609,-0.0024835963342551004,-0.0007429098205087303,-0.00040670245648288805,-0.004723171194620623
2017-04-10 13:35:00,9185.1,33.89953638228311,32.3893217534532,46.40305580354008,0.00010342837856947007,0.00010342837856947007,0.0016875156503468602,,-0.0008873066161499965
2017-04-11 13:40:00,9231.8,60.355079584689946,60.060977479461684,19.869057366656346,-0.0009153144565522409,-0.0003195476505122308,0.0005361901254361534,,0.0004116207023550089
2017-04-11 14:30:00,9237.7,62.12714592147899,59.73365601842712,20.02954927905663,-0.0004925468460764693,-0.00012448986219526503,,,-0.00022732931357372088
2017-04-12 09:20:00,9240.45,62.70577258126188,62.282200854629686,24.503160680401724,-0.003095087360464044,-0.005502978751034893,-0.005768117353592173,-0.005784350329258947,-0.004274683592249251
2017-04-12 10:50:00,9190.05,37.422617504610656,35.70542804625209,44.84431357808078,5.440666808187444e-06,-0.0003318806752954373,-0.0006365580165503815,0.0031936714163687263,0.001186065364171096
2017-04-12 15:20:00,9204.3,48.728040200961196,47.74695234688819,25.35208378851884,,,,,-0.0003639603228924315
2017-04-13 10:00:00,9186.3,41.908519242853345,41.89916759520991,33.45028390762853,-0.0001306293066848374,-1.0885775556968014e-05,3.265732667134813e-05,2.721443889264208e-05,-0.004283552681710656
2017-04-13 13:00:00,9176.35,38.03377479284248,37.808484959338465,38.038880962925596,-0.0003705176894952533,-0.0005939180611027606,0.00039231284770102626,-0.0023320819279996075,-0.0032038882562238635
2017-04-13 15:20:00,9152.65,32.21473411447482,31.814902626308392,58.659894402823305,,,,,-0.0006227704544584656
2017-04-19 09:20:00,9097.45,24.795969750295015,23.706511345056338,59.347244079888625,0.0007474622009462362,-0.001720262271295958,0.0008518870672551415,0.000676013608208903,0.0017477424992717872
2017-04-19 14:45:00,9086.25,41.60985284790938,39.621211732936345,25.37011167352261,0.0003686889530885029,0.0019204842481772566,,,0.00298252854587977
2017-04-20 10:35:00,9121.3,58.16920894518964,55.98202652864994,26.543342443109573,0.0006578009713527067,0.0010250731803580493,0.0010141098308356078,0.0007455077675333488,0.0016773924769497572
2017-04-20 15:00:00,9129.05,50.48793908350942,48.28526431048584,23.925253559031432,0.0010515880622847806,,,,0.0008270301948176684
2017-04-21 14:05:00,9104.3,32.43426578049807,32.070298011919576,63.92751279625381,0.00029107125204586026,0.0012466636644223872,0.0017464275122744954,,0.0016420812143713714
2017-04-24 11:50:00,9175.15,66.0574749888123,65.2217696702915,33.3740620369212,0.0004795561925416969,0.001051753922279186,0.0022233968926939074,0.004239712702244658,0.004359601750380193
2017-04-24 14:20:00,9220.7,77.44097239295733,77.23445802481622,52.05839972281228,-0.0011875454141226927,-0.001295997050115627,-0.00040127105317389056,,-0.0006019065797608913
2017-04-25 09:25:00,9256.85,70.32691142882746,70.18926365847065,49.50079276729577,0.0004159082193186947,8.642248713108813e-05,0.0001134295143596642,0.0019066961223310752,0.0050341098753896585
2017-04-26 09:20:00,9329.15,77.07128001501975,76.57561127335383,52.32435835347077,0.0009004035737445459,0.001291650364717123,0.002427873922061563,0.0030120643359792254,0.0016078635245440065
2017-04-26 15:05:00,9351.55,48.896996040201195,48.18797972421427,40.21214227221221,0.00019248146029271496,,,,-0.0007913126700921369
2017-04-27 10:35:00,9348.3,50.16494752054203,49.47524040226433,14.319111773461437,8.022849074174054e-05,1.6045698148392518e-05,0.00018185124568104172,-0.0010108789833443987,-0.0020912893253317577
2017-04-27 13:15:00,9352.8,51.71920829569263,49.54691747745903,33.13909406476687,0.00016572577196138916,0.0008874347788898618,0.00031541356599107395,-0.001464801984432329,-0.0025714224617225945
2017-04-27 14:40:00,9359.7,57.07751947857251,56.821394822085075,22.780882805477376,3.205230936886849e-05,-0.00232379242924452,,,-0.0033067299165572273
2017-04-28 10:30:00,9309.0,33.49647020467343,31.214279704389984,56.612007840659196,-0.0007358470297561537,-0.0014448383284993982,-0.0011333118487484306,-0.0015576323987538387,-0.0005693414974754507
2017-04-28 15:20:00,9306.9,50.23242110609549,49.18420136290395,19.618765931674574,,,,,-0.0003438309211444279
2017-05-02 12:15:00,9300.25,45.624750847731825,41.97128253871469,34.40028195004704,0.0006290153490497996,0.0007526679390339464,0.001956936641488216,0.00043547216472661354,0.0018816698475847549
2017-05-02 14:50:00,9308.95,49.91203776421582,48.78856849808599,25.781996607886523,0.00021484700207863305,0.0005048904548847766,,,0.000945326809145941
2017-05-03 13:10:00,9313.1,44.97867758865897,44.923465135914356,28.087855808117475,3.221268965214463e-05,0.0007569982068269532,0.000665728919478914,-0.00023622639078291208,-0.0009932245976098653
2017-05-03 15:00:00,9317.8,50.837030428924606,48.377366210057545,19.23355731661981,-0.0006546609714738194,,,,-0.00149713451673128
2017-05-04 09:15:00,9347.35,51.9410806358857,44.548499355588206,25.387854318176554,0.00016582239886164807,-0.00012837863137693528,-5.3491096407842775e-06,-0.00044397610017810063,0.0010698219281399801
2017-05-04 13:15:00,9342.25,53.973550410716605,52.34490617737396,29.77664120144762,0.00044421846985476243,0.0009901255050979163,0.001327303379806688,0.0021140517541278214,0.0016163129867001746
2017-05-05 10:45:00,9321.9,41.69830327264694,41.184056770785105,37.82139288630102,-0.00011263798152727489,-4.82734206544988e-05,-0.0007562835902551468,-0.0020703933747411307,-0.004789796071616226
2017-05-05 11:00:00,9320.85,41.29324897926218,39.54392260372383,35.35113451723165,6.437181158380767e-05,8.046476447964857e-05,-0.0030469324149621224,-0.0022744706759577626,-0.0046776849750828076
2017-05-05 12:35:00,9301.15,34.46284920906412,32.14635372173535,46.155966110527885,0.00038704891330643143,-0.0009084898103997041,-0.0019191175284777318,-0.0010052520387264785,-0.0025695747300065186
2017-05-08 13:45:00,9322.15,53.2666341388447,52.132120209253344,21.11170825898322,6.97264043165724e-05,-0.0002896327563919332,-0.0004076312867739018,,-0.0012228938603219275
2017-05-08 14:40:00,9322.5,53.52722517228242,52.98359508122178,19.207535153768177,-0.0004666130329847862,-0.0003378921962992054,,,-0.0012603915258782017
2017-05-09 09:20:00,9334.6,50.451601309072856,49.86441170410045,25.526470566630294,-0.002324684507102659,-0.0012373320763612305,-0.0015640734471750184,-0.0009105907055471096,-0.001847963490669069
2017-05-09 10:25:00,9322.25,51.62087509091425,51.07012887385267,12.063136668736677,-0.00011263375258108166,0.0001072702405535697,0.00020917696907951644,-0.0006650754914319101,-0.0005256241787121585
2017-05-09 11:00:00,9326.35,54.216864062985394,52.29583032180908,10.236692525795409,-0.00021980732011994686,0.0001393900078807686,-0.0003002246323590141,-0.00015547347032873748,-0.0009650077468676965
2017-05-09 12:45:00,9326.2,52.074770082928254,51.285283746655644,19.62055179320165,-0.00013939224979098164,0.0008149085372390896,0.0005575689991634825,-0.0015065085458172423,-0.0009489395466535377
