symbol,timestamp,close,daily_rsi,weekly_rsi,daily_adx,weekly_adx,mfe,mae,final_ret,window_days,fwd_1w,fwd_2w,fwd_30d,fwd_60d,fwd_90d,fwd_180d,fwd_1y,wrsi_bucket,dadx_bucket,wadx_bucket,mfe_bucket
SHRIRAMFIN,2007-04-12,23.42,45.102540905996584,44.611620940509994,40.96651986094285,45.11511636641896,5.7544833475661825,-0.02433817250213499,1.2079419299743805,200.0,-0.014944491887275868,-0.002988898377455196,0.08539709649871896,0.33817250213492733,0.35567890691716464,0.8936806148590948,1.7374039282664389,40-50,30+,30+,9
ADANIGREEN,2019-09-12,48.9,56.049961036101735,52.47832736471403,28.175052147667827,23.639730567225737,3.7474437627811863,0.0,2.133946830265849,201.0,0.02556237218813906,0.20961145194274033,0.6186094069529653,0.9192229038854804,1.7106339468302663,1.6758691206543967,11.446830265848671,50-60,25-30,20-25,9
JSWSTEEL,2009-03-04,17.79,32.59867001307388,32.110696325554116,18.165706627869064,36.852369941111334,2.9758291174817315,-0.08206857785272625,2.8645306351883084,147.0,-0.06913996627318719,0.026419336706014818,0.7487352445193929,1.0382237211916805,2.1944912872400226,2.8740865654862287,5.518830803822373,30-40,15-20,30+,9
TVSMOTOR,2009-01-30,8.32,30.32808442143588,27.023341685287356,51.73119520116744,29.647060666511678,2.8521634615384612,0.0,2.8521634615384612,180.0,0.09735576923076938,0.15745192307692313,0.19591346153846145,0.3641826923076923,1.0913461538461537,2.8521634615384612,3.450721153846154,20-30,30+,25-30,9
HCLTECH,2009-03-16,25.42,34.327421340343626,30.924891422721263,56.16389532963404,22.80159976870454,2.7631785995279303,-0.018882769472856054,2.568843430369787,340.0,0.022423288749016335,-0.018882769472856054,0.29583005507474414,0.4531864673485442,0.9724626278520849,2.077891424075531,2.6695515342250196,30-40,30+,20-25,9
KOTAKBANK,2009-03-06,11.34,31.696547102883386,30.697711706799694,44.90434449336493,36.89731941915703,2.6243386243386246,-0.016754850088183337,2.6243386243386246,223.0,0.0749559082892417,0.13315696649029984,0.6322751322751323,1.00352733686067,2.0070546737213406,2.0696649029982366,2.5828924162257496,30-40,30+,30+,9
ADANIENT,2006-04-29,18.97,49.47460929283548,48.85786261975688,18.03302176587227,13.391251498025182,2.1286241433842914,0.0,0.9451765946230892,102.0,1.0632577754348973,1.7891407485503428,1.701634159198735,1.0500790722192939,0.8982604111755403,1.2351080653663682,2.6731681602530317,40-50,15-20,<15,9
ADANIGREEN,2020-04-01,152.9,53.882987140930055,52.22643775885214,28.102155151326738,47.81929976191258,2.0320470896010465,-0.0065402223675604665,1.4627207325049052,142.0,0.08862001308044465,0.2282537606278614,0.3705035971223021,0.7053629823413996,1.3469587965990844,3.448005232177894,6.586984957488554,50-60,25-30,30+,9
AXISBANK,2009-03-17,65.1,35.235486888185065,32.77739795368192,36.97766732447853,33.911615173360666,2.0265745007680493,0.0,2.0265745007680493,197.0,0.14270353302611372,0.2748079877112135,0.4503840245775732,1.3913978494623658,1.2070660522273426,1.7516129032258068,2.5305683563748085,30-40,30+,30+,9
ETERNAL,2023-04-03,51.95,43.59294432468457,41.9319551427791,19.16456642916681,22.470900095779587,1.9605389797882582,-0.004812319538017307,1.9605389797882582,315.0,0.038498556304138676,0.038498556304138676,0.2232916265640037,0.3695861405197305,0.45620789220404245,1.026948989412897,2.524542829643888,40-50,15-20,20-25,9
BAJAJFINSV,2009-02-24,15.11,40.9923084308882,38.53574582186266,41.694299227835884,26.663303498986906,1.7895433487756454,-0.058239576439443996,0.8232958305757778,206.0,0.001323626737260275,-0.03375248180013235,0.11714096624751824,0.5287888815354072,0.9940436796823295,0.7981469225678361,1.185969556585043,30-40,30+,25-30,9
ADANIGREEN,2020-08-24,414.2,67.65943651845744,66.15875687909036,20.92130762088664,38.633715707774385,1.6097295992274265,0.0,1.6097295992274265,86.0,0.09307098020280069,0.335345243843554,0.4202076291646548,0.739014968614196,1.8495895702559149,1.7557943022694351,1.292853693867697,60+,20-25,30+,9
BAJFINANCE,2010-03-31,3.11,55.169675765617185,54.0524876900205,29.68289123209495,46.03538345830827,1.54983922829582,0.0,0.8585209003215435,313.0,0.048231511254019255,0.07717041800643099,0.34083601286173626,0.42443729903536975,0.45337620578778126,1.4790996784565915,1.1864951768488745,50-60,25-30,30+,9
LT,2009-03-12,256.05,30.48257313881878,29.836445063732775,43.412988597759195,39.57979432249093,1.4531146260495995,0.0,1.4394063659441514,83.0,0.057801210701035055,0.14934583089240383,0.4344463971880492,0.672954501074009,1.8271821909783243,1.8078890841632496,1.7160710798672136,20-30,30+,30+,9
ICICIBANK,2009-03-17,58.8,38.05881308436312,37.008492212314835,42.407713706517185,26.463294109764103,1.451700680272109,-0.0010204081632652073,1.451700680272109,176.0,0.09914965986394564,0.029081632653061185,0.32210884353741487,1.1863945578231294,1.271938775510204,1.5498299319727895,1.932993197278912,30-40,30+,25-30,9
