symbol,timestamp,entry_open,entry_high,entry_low,entry_close,daily_rsi,weekly_rsi,daily_adx,weekly_adx,mfe,mae,final_ret,window_days,comment,fwd_1w,o_1w,h_1w,l_1w,c_1w,date_1w,fwd_2w,o_2w,h_2w,l_2w,c_2w,date_2w,fwd_30d,o_30d,h_30d,l_30d,c_30d,date_30d,fwd_60d,o_60d,h_60d,l_60d,c_60d,date_60d,fwd_90d,o_90d,h_90d,l_90d,c_90d,date_90d,fwd_120d,o_120d,h_120d,l_120d,c_120d,date_120d,fwd_180d,o_180d,h_180d,l_180d,c_180d,date_180d,fwd_270d,o_270d,h_270d,l_270d,c_270d,date_270d,fwd_365d,o_365d,h_365d,l_365d,c_365d,date_365d,batch,mfe_bucket,reviewed
TIPSMUSIC,2023-05-05,150.95,169.95,150.95,163.05,46.45690517775009,45.904498189155426,35.3354386560407,23.11501072650095,1.3676786261882858,0.0,1.3676786261882858,199.0,,0.015946028825513547,165.3,166.9,163.1,165.65,2023-05-12,0.014719411223550916,169.0,169.0,164.1,165.45,2023-05-19,0.27445568843912915,203.1,209.65,202.0,207.8,2023-06-05,0.6366145354185833,276.0,277.0,257.2,266.85,2023-07-04,0.7657160380251453,287.1,294.55,283.55,287.9,2023-08-03,1.05213124808341,333.6,344.3,324.25,334.6,2023-09-04,1.1309414290095061,355.0,358.0,345.05,347.45,2023-11-01,1.6593069610548912,434.9,438.4,422.4,433.6,2024-01-30,1.6252683226004292,443.7,444.65,420.35,428.05,2024-05-06,13,9,False
AUROPHARMA,2023-02-06,404.0,418.65,403.85,415.0,30.18995592049535,29.22349331037877,36.94238637626823,38.81275342731161,1.3607228915662652,0.0,1.3607228915662652,277.0,,0.1389156626506023,469.95,476.5,465.0,472.65,2023-02-13,0.1202409638554216,471.0,473.75,464.1,464.9,2023-02-20,0.11337349397590368,463.1,471.55,458.6,462.05,2023-03-08,0.30301204819277117,536.0,542.55,533.0,540.75,2023-04-10,0.4914457831325303,599.15,620.0,596.2,618.95,2023-05-08,0.6000000000000001,662.0,665.75,653.05,664.0,2023-06-06,1.092168674698795,847.05,874.3,839.05,868.25,2023-08-07,1.0585542168674698,861.05,864.6,850.1,854.3,2023-11-03,1.4443373493975904,1026.5,1048.9,1005.25,1014.4,2024-02-06,3,9,False
CEMPRO,2023-03-31,104.45,106.0,103.7,104.35,44.66859973657105,43.28938433329975,21.591960149522375,28.902498439769793,1.3569717297556303,0.0,1.1993291806420703,224.0,,0.0627695256348828,111.75,112.0,110.0,110.9,2023-04-10,0.05606133205558228,111.35,111.35,108.5,110.2,2023-04-17,0.18878773358888368,123.65,125.3,122.35,124.05,2023-05-02,0.48107331097268835,147.8,155.35,147.15,154.55,2023-05-30,0.5639674173454718,165.0,168.65,162.05,163.2,2023-06-30,0.7747963584091997,185.0,188.0,184.35,185.2,2023-07-31,1.1135601341638717,216.4,222.9,214.1,220.55,2023-09-27,1.6875898418782942,281.4,283.4,278.55,280.45,2023-12-26,2.178246286535697,336.4,342.1,325.3,331.65,2024-04-01,10,9,False
AGI,2023-04-13,363.65,379.7,353.0,376.1,57.814823314506214,55.544335300747285,30.506716060397558,26.55869572853423,1.3522999202339805,0.0,1.3522999202339805,162.0,,0.05304440308428604,391.0,408.0,391.0,396.05,2023-04-20,0.0640787024727465,400.0,403.9,395.95,400.2,2023-04-27,0.465301781441106,568.0,571.0,546.5,551.1,2023-05-15,0.5276522201542142,574.0,584.8,571.0,574.55,2023-06-12,0.6496942302579101,614.0,630.0,612.05,620.45,2023-07-12,0.7244084020207389,643.3,655.0,640.05,648.55,2023-08-11,1.4504121244349908,914.95,929.85,909.7,921.6,2023-10-10,1.3299654347248069,906.0,908.0,867.9,876.3,2024-01-08,1.166179207657538,830.05,832.95,810.0,814.7,2024-04-12,16,9,False
BECTORFOOD,2023-02-14,107.38,108.19,105.97,107.07,72.24259988434349,71.72276275068886,49.399036277440324,42.63287259718534,1.3460353040067248,-0.06463061548519644,1.3460353040067248,271.0,,-0.04856635845708401,104.88,105.97,101.11,101.87,2023-02-21,-0.06463061548519644,102.06,103.59,99.6,100.15,2023-02-28,-0.016157653871299082,107.29,107.6,104.29,105.34,2023-03-16,0.09844027271878208,114.5,118.6,112.5,117.61,2023-04-17,0.18884841692350807,125.22,129.36,124.23,127.29,2023-05-15,0.5098533669561969,162.13,163.74,160.6,161.66,2023-06-14,1.0583730269916876,219.0,226.99,201.2,220.39,2023-08-14,1.3460353040067248,257.99,257.99,248.02,251.19,2023-11-12,0.9237881759596527,197.8,209.0,195.15,205.98,2024-02-14,14,9,False
PCBL,2024-06-11,245.8,248.8,241.69,246.53,42.03529687131687,41.445752965684186,35.241392629795165,29.4284666504389,1.342919725794021,-0.010221879690098579,0.749685636636515,170.0,,0.024297245771305764,253.0,255.05,249.1,252.52,2024-06-18,0.09747292418772568,276.0,278.7,270.0,270.56,2024-06-25,0.1106153409321382,274.4,279.7,272.55,273.8,2024-07-11,0.5689774064008437,393.0,394.75,382.95,386.8,2024-08-12,0.9318135723846996,476.75,486.4,460.0,476.25,2024-09-09,1.057356102705553,504.0,524.0,502.4,507.2,2024-10-09,0.9429684014115929,470.55,483.7,462.8,479.0,2024-12-09,0.5572141321543016,392.95,397.5,378.75,383.9,2025-03-10,0.6659230113982071,409.3,413.4,404.3,410.7,2025-06-11,10,9,False
DBREALTY,2022-08-25,47.52,49.68,46.78,49.68,41.56523135349773,40.2780861988973,19.682779821828284,26.700818087310623,1.3055555555555558,0.0,0.6127214170692432,145.0,,0.21477455716586147,60.35,60.35,60.35,60.35,2022-09-01,0.5481078904991947,76.91,76.91,74.66,76.91,2022-09-08,1.0813204508856682,103.4,103.4,103.4,103.4,2022-09-26,0.7497987117552336,86.71,90.18,85.89,86.93,2022-10-24,0.6702898550724639,84.37,85.1,82.07,82.98,2022-11-23,0.517512077294686,76.04,77.13,75.39,75.39,2022-12-23,0.10044283413848643,56.66,57.23,54.67,54.67,2023-02-21,0.41103059581320434,69.8,72.4,69.02,70.1,2023-05-22,1.7620772946859904,136.13,141.16,128.5,137.22,2023-08-25,14,9,False
ANUP,2023-04-17,520.0,547.95,520.0,534.95,55.89939429082074,54.448615017678456,40.86365990693618,37.001837220170714,1.2986821198242824,0.0,1.2986821198242824,196.0,,0.028320403776053826,546.0,565.03,545.0,550.1,2023-04-24,0.04841573978876523,573.08,575.0,557.5,560.85,2023-05-02,0.21347789513038595,629.5,688.3,598.98,649.15,2023-05-17,0.5247219366295914,813.03,821.35,802.53,815.65,2023-06-16,0.7715674362089915,935.0,953.63,934.23,947.7,2023-07-17,1.0070660809421441,1069.98,1082.0,1056.03,1073.68,2023-08-16,0.9919244789232635,1035.5,1101.93,1035.5,1065.58,2023-10-16,1.6704364893915318,1478.58,1486.98,1425.0,1428.55,2024-01-12,2.1181979624263945,1668.98,1692.5,1655.5,1668.08,2024-04-16,16,9,False
NMDC,2023-07-03,35.33,35.9,35.23,35.83,40.2318182073783,37.073124329401736,24.906285498303937,30.99426247422236,1.2975160480044656,-0.005581914596706539,1.0848451018699414,280.0,,0.002790957298353325,35.72,36.23,35.47,35.93,2023-07-10,0.05581914596706672,38.0,38.22,37.75,37.83,2023-07-17,0.058331007535584734,38.97,39.0,37.4,37.92,2023-08-02,0.21406642478370097,41.02,43.63,40.87,43.5,2023-09-01,0.37733742673737103,49.87,49.98,49.08,49.35,2023-10-03,0.4345520513536143,52.33,52.55,51.2,51.4,2023-10-31,0.9670667038794309,70.3,71.63,69.75,70.48,2024-01-01,0.9779514373430089,68.27,71.07,67.77,70.87,2024-04-01,1.2732347195087916,83.87,84.05,80.8,81.45,2024-07-02,3,9,False
EDELWEISS,2023-04-06,28.42,29.37,28.26,28.79,39.048809346157,37.13186247144715,33.85778672553859,25.541764594666873,1.290725946509205,-0.010072941993747753,1.290725946509205,181.0,,0.032997568600208416,29.1,31.05,29.08,29.74,2023-04-13,0.051059395623480386,29.82,30.74,29.58,30.26,2023-04-20,0.1809656130600903,34.74,35.16,33.76,34.0,2023-05-08,0.3390065995137199,38.55,38.55,38.55,38.55,2023-06-05,0.7054532823897188,50.0,50.75,48.95,49.1,2023-07-05,0.5647794373046195,46.8,47.75,44.55,45.05,2023-08-04,1.188259812434873,61.25,63.45,59.55,63.0,2023-10-03,1.7249044807224734,77.95,79.4,77.7,78.45,2024-01-01,1.5078152136158391,73.3,73.3,71.7,72.2,2024-04-05,11,9,False
